OrganisationURI,SiteReference,SiteNameAddress,SiteplanURL,GeoX,GeoY,Hectares,OwnershipStatus,PlanningStatus,PermissionType,PermissionDate,PlanningHistory,Deliverable,NetDwellingsRangeFrom,NetDwellingsRangeTo,HazardousSubstances,Notes ,FirstAddedDate,LastUpdatedDate,EndDate
http://opendatacommunities.org/id/metropolitan-district-council/north-tyneside,1,"Hadrian Road (land south of Metro line), Wallsend",http://my.northtyneside.gov.uk/category/1134/housing-and-employment,-1.51719,54.99161,1.15,mixed ownership,not permissioned,,,,,18,,,,22/12/2017,15/04/2020,
http://opendatacommunities.org/id/metropolitan-district-council/north-tyneside,2,"Cedar Grove Block, High Street East, Wallsend",http://my.northtyneside.gov.uk/category/1134/housing-and-employment,-1.5207,54.99186,0.7,mixed ownership,not permissioned,,,,,19,32,,,22/12/2017,15/04/2020,
http://opendatacommunities.org/id/metropolitan-district-council/north-tyneside,38,"Langdale Centre, Langdale Gardens, Howdon",http://my.northtyneside.gov.uk/category/1134/housing-and-employment,-1.49783,55.00644,1.43,owned by a public authority ,not permissioned,,,,,39,,,,22/12/2017,15/04/2020,
http://opendatacommunities.org/id/metropolitan-district-council/north-tyneside,48,"Land at Martin Road, Howdon",http://my.northtyneside.gov.uk/category/1134/housing-and-employment,-1.50208,54.99469,0.12,not owned by a public authority ,not permissioned,,,,,4,,,,22/12/2017,15/04/2020,31/12/2019
http://opendatacommunities.org/id/metropolitan-district-council/north-tyneside,58,"Howdon Green, Willington Quay",http://my.northtyneside.gov.uk/category/1134/housing-and-employment,-1.49038,54.99292,3.54,not owned by a public authority ,permissioned,outline planning permission,10/05/2017,https://idoxpublicaccess.northtyneside.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=K9T2DZBH09700,,83,,,,22/12/2017,15/04/2020,
http://opendatacommunities.org/id/metropolitan-district-council/north-tyneside,63,"West Chirton South, Norham Road, North Shields",http://my.northtyneside.gov.uk/category/1134/housing-and-employment,-1.48215,55.00819,28.95,mixed ownership,permissioned,reserved matters approval,17/07/2019,https://idoxpublicaccess.northtyneside.gov.uk/online-applications/applicationDetails.do?keyVal=PJVZ2YBHH3B00&activeTab=summary,yes,399,,,,22/12/2017,15/04/2020,
http://opendatacommunities.org/id/metropolitan-district-council/north-tyneside,66,Backworth Business Park ,http://my.northtyneside.gov.uk/category/1134/housing-and-employment,-1.52527,55.04059,4.73,mixed ownership,pending decision,,,https://idoxpublicaccess.northtyneside.gov.uk/online-applications/caseDetails.do?caseType=Application&keyVal=PB181QBHIUW00,yes,65,,,,22/12/2017,15/04/2020,
http://opendatacommunities.org/id/metropolitan-district-council/north-tyneside,67,"Foxhunters Industrial Estate, Hillheads Road, Whitley Bay",http://my.northtyneside.gov.uk/category/1134/housing-and-employment,-1.45498,55.03363,2.72,mixed ownership,not permissioned,,,,,61,,,,22/12/2017,15/04/2020,
http://opendatacommunities.org/id/metropolitan-district-council/north-tyneside,79,"201-225 High Street East, Wallsend",http://my.northtyneside.gov.uk/category/1134/housing-and-employment,-1.52648,54.99233,0.16,not owned by a public authority ,not permissioned,,,,,5,,,,22/12/2017,15/04/2020,
http://opendatacommunities.org/id/metropolitan-district-council/north-tyneside,81,"Forest Hall Delivery Office, Station Road, Forest Hall",http://my.northtyneside.gov.uk/category/1134/housing-and-employment,-1.56804,55.01826,0.16,not owned by a public authority ,not permissioned,,,,,5,,,,22/12/2017,15/04/2020,
http://opendatacommunities.org/id/metropolitan-district-council/north-tyneside,83,"Tynemouth Jubilee Infirmary, Hawkey's Lane, North Shields",http://my.northtyneside.gov.uk/category/1134/housing-and-employment,-1.45613,55.01088,1.48,owned by a public authority ,not permissioned,,,,,40,,,,22/12/2017,15/04/2020,
http://opendatacommunities.org/id/metropolitan-district-council/north-tyneside,85,"Land at 26-37 Clive Street, North Shields",http://my.northtyneside.gov.uk/category/1134/housing-and-employment,-1.44391,55.00494,0.3,not owned by a public authority ,permissioned,full planning permission,09/07/2019,https://idoxpublicaccess.northtyneside.gov.uk/online-applications/caseDetails.do?caseType=Application&keyVal=PPBR07BH0GZ00,,50,,,,22/12/2017,15/04/2020,
http://opendatacommunities.org/id/metropolitan-district-council/north-tyneside,91,"Percy Main Bus Depot, Norham Road, North Shields",http://my.northtyneside.gov.uk/category/1134/housing-and-employment,-1.47775,55.00424,0.45,not owned by a public authority ,not permissioned,,,,,12,,,,22/12/2017,15/04/2020,
http://opendatacommunities.org/id/metropolitan-district-council/north-tyneside,95,"Grieves Row, Dudley",http://my.northtyneside.gov.uk/category/1134/housing-and-employment,-1.59431,55.05874,1.94,not owned by a public authority ,not permissioned,,,,yes,53,88,,,22/12/2017,15/04/2020,
http://opendatacommunities.org/id/metropolitan-district-council/north-tyneside,112,"Fenwick's Pit, East Holywell",http://my.northtyneside.gov.uk/category/1134/housing-and-employment,-1.51336,55.05,4.43,not owned by a public authority ,permissioned,full planning permission,26/07/2016,https://idoxpublicaccess.northtyneside.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=NSYZYABH0GZ00,yes,18,,,,22/12/2017,15/04/2020,
http://opendatacommunities.org/id/metropolitan-district-council/north-tyneside,116,"Former Grange Interiors Building, Bird Street, North Shields",http://my.northtyneside.gov.uk/category/1134/housing-and-employment,-1.43785,55.01113,0.54,mixed ownership,not permissioned,full planning permission,03/01/2018,https://idoxpublicaccess.northtyneside.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=OGUF8XBH0I300,yes,35,,,,22/12/2017,15/04/2020,
http://opendatacommunities.org/id/metropolitan-district-council/north-tyneside,162,"Land at Rising Sun adjacent to Sports Ground, Kings Road North, Wallsend",http://my.northtyneside.gov.uk/category/1134/housing-and-employment,-1.53232,55.00653,0.23,owned by a public authority ,not permissioned,,,,,7,,,,22/12/2017,15/04/2020,
http://opendatacommunities.org/id/metropolitan-district-council/north-tyneside,198,"Land at Coble Dene, Royal Quays, North Shields",http://my.northtyneside.gov.uk/category/1134/housing-and-employment,-1.45786,54.99501,0.24,owned by a public authority ,not permissioned,,,,,7,,,,22/12/2017,15/04/2020,31/12/2019
http://opendatacommunities.org/id/metropolitan-district-council/north-tyneside,219,"Site at Coquet Avenue (Former site of Marine Park and Cocquet Park First School), Whitley Bay",http://my.northtyneside.gov.uk/category/1134/housing-and-employment,-1.44957,55.04589,0.59,not owned by a public authority ,not permissioned,,,,,94,,,,22/12/2017,15/04/2020,
http://opendatacommunities.org/id/metropolitan-district-council/north-tyneside,223,"Land south of Whitley Road, Benton",http://my.northtyneside.gov.uk/category/1134/housing-and-employment,-1.56655,55.00973,2.25,owned by a public authority ,permissioned,outline planning permission,06/06/2012,https://idoxpublicaccess.northtyneside.gov.uk/online-applications/simpleSearchResults.do?action=firstPage,yes,51,,,,22/12/2017,15/04/2020,31/12/2019
http://opendatacommunities.org/id/metropolitan-district-council/north-tyneside,233,"Fleur De Lis, Dock Road Industrial Estate, North Shields",http://my.northtyneside.gov.uk/category/1134/housing-and-employment,-1.44777,55.00388,0.14,not owned by a public authority ,permissioned,full planning permission,29/11/2016,https://idoxpublicaccess.northtyneside.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=OEH2HHBHH5400,yes,8,,,,22/12/2017,15/04/2020,15/04/2020
http://opendatacommunities.org/id/metropolitan-district-council/north-tyneside,249,"Linskill Mews, Linskill Terrace, North Shields",http://my.northtyneside.gov.uk/category/1134/housing-and-employment,-1.44228,55.0132,0.17,not owned by a public authority ,permissioned,outline planning permission,21/07/2017,https://idoxpublicaccess.northtyneside.gov.uk/online-applications/caseDetails.do?caseType=Application&keyVal=OPYB88BHGHE00,,9,,,,22/12/2017,15/04/2020,
http://opendatacommunities.org/id/metropolitan-district-council/north-tyneside,260,"Bawtry Court, Broomfield Avenue, Wallsend",http://my.northtyneside.gov.uk/category/1134/housing-and-employment,-1.52547,55.00803,0.22,owned by a public authority ,permissioned,outline planning permission,27/12/2007,https://idoxpublicaccess.northtyneside.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=JP8ISTBHEC000,,13,,,,22/12/2017,15/04/2020,31/12/2019
http://opendatacommunities.org/id/metropolitan-district-council/north-tyneside,266,"Pioneer Social Club, Seghill Road Ends, Dudley",http://my.northtyneside.gov.uk/category/1134/housing-and-employment,-1.57789,55.05588,0.15,not owned by a public authority ,permissioned,permission in principle,14/04/2020,https://idoxpublicaccess.northtyneside.gov.uk/online-applications/applicationDetails.do?keyVal=PWZW3UBH09D00&activeTab=summary,,5,12,,allocated for ?residential development for the purposes of section 59A of the Town and Country Planning Act 1990 (permission in principle),22/12/2017,15/04/2020,
http://opendatacommunities.org/id/metropolitan-district-council/north-tyneside,277,Stephenson Industrial Estate East,http://my.northtyneside.gov.uk/category/1134/housing-and-employment,-1.57635,55.02933,4.88,mixed ownership,not permissioned,,,,,110,,,,22/12/2017,15/04/2020,
http://opendatacommunities.org/id/metropolitan-district-council/north-tyneside,278,Stephenson Industrial Estate West,http://my.northtyneside.gov.uk/category/1134/housing-and-employment,-1.57952,55.03075,7.3,mixed ownership,not permissioned,,,,,164,,,,22/12/2017,15/04/2020,
http://opendatacommunities.org/id/metropolitan-district-council/north-tyneside,280,"Tanners Bank West (S), North Shields (former Tyne Brand site)",http://my.northtyneside.gov.uk/category/1134/housing-and-employment,-1.43443,55.01147,1.85,mixed ownership,not permissioned,,,,,50,,,,22/12/2017,15/04/2020,
http://opendatacommunities.org/id/metropolitan-district-council/north-tyneside,281,"Tanners Bank East, North Shields",http://my.northtyneside.gov.uk/category/1134/housing-and-employment,-1.43274,55.0117,0.95,mixed ownership,not permissioned,,,,,42,,,,22/12/2017,15/04/2020,
http://opendatacommunities.org/id/metropolitan-district-council/north-tyneside,282,"Brewhouse Bank A  (northern parcel), North Shields",http://my.northtyneside.gov.uk/category/1134/housing-and-employment,-1.43667,55.01175,0.51,mixed ownership,not permissioned,,,,,18,,,,22/12/2017,15/04/2020,
http://opendatacommunities.org/id/metropolitan-district-council/north-tyneside,284,"East George Street, North Shields",http://my.northtyneside.gov.uk/category/1134/housing-and-employment,-1.43758,55.01259,0.87,mixed ownership,not permissioned,,,,,31,,,,22/12/2017,15/04/2020,
http://opendatacommunities.org/id/metropolitan-district-council/north-tyneside,285,"Hutson Street & East George Street Block, North Shields",http://my.northtyneside.gov.uk/category/1134/housing-and-employment,-1.43736,55.01153,0.45,mixed ownership,not permissioned,,,,,16,,,,22/12/2017,15/04/2020,
http://opendatacommunities.org/id/metropolitan-district-council/north-tyneside,288,"Dock Road Industrial Estate, Lawson Street, North Shields",http://my.northtyneside.gov.uk/category/1134/housing-and-employment,-1.44974,55.00232,4.25,mixed ownership,not permissioned,,,,,96,,,,22/12/2017,15/04/2020,
http://opendatacommunities.org/id/metropolitan-district-council/north-tyneside,299,"Land at North Shields Metro Station, Russell Street, North Shields",http://my.northtyneside.gov.uk/category/1134/housing-and-employment,-1.44996,55.00792,0.52,not owned by a public authority ,not permissioned,,,,yes,14,,,,22/12/2017,15/04/2020,
http://opendatacommunities.org/id/metropolitan-district-council/north-tyneside,301,"Land adjacent to Benton Metro Station, Station Approach, Benton",http://my.northtyneside.gov.uk/category/1134/housing-and-employment,-1.56913,55.01324,0.39,not owned by a public authority ,not permissioned,,,,yes,12,20,,,22/12/2017,15/04/2020,
http://opendatacommunities.org/id/metropolitan-district-council/north-tyneside,302,"Metro Sidings at Waterville Road, North Shields",http://my.northtyneside.gov.uk/category/1134/housing-and-employment,-1.4542,55.00464,1.24,not owned by a public authority ,not permissioned,,,,yes,34,,,,22/12/2017,15/04/2020,
http://opendatacommunities.org/id/metropolitan-district-council/north-tyneside,307,"Percy Hedley School, Station Road, Forest Hall",http://my.northtyneside.gov.uk/category/1134/housing-and-employment,-1.56818,55.01705,0.62,not owned by a public authority ,not permissioned,,,,,17,28,,,22/12/2017,15/04/2020,
http://opendatacommunities.org/id/metropolitan-district-council/north-tyneside,311,"Land at Albion Road, North Shields",http://my.northtyneside.gov.uk/category/1134/housing-and-employment,-1.4468,55.0108,0.25,not owned by a public authority ,not permissioned,,,,,8,,,,22/12/2017,15/04/2020,15/04/2020
http://opendatacommunities.org/id/metropolitan-district-council/north-tyneside,315,"Albion House, Albion Road, North Shields",http://my.northtyneside.gov.uk/category/1134/housing-and-employment,-1.45095,55.00934,0.79,unknown ownership,not permissioned,,,,,21,,,,22/12/2017,15/04/2020,
http://opendatacommunities.org/id/metropolitan-district-council/north-tyneside,323,"Bingo Hall, Lovaine Place, North Shields",http://my.northtyneside.gov.uk/category/1134/housing-and-employment,-1.4487,55.0086,0.12,unknown ownership,not permissioned,,,,,4,,,,22/12/2017,15/04/2020,
http://opendatacommunities.org/id/metropolitan-district-council/north-tyneside,324,"Land at Waldo Street, North Shields",http://my.northtyneside.gov.uk/category/1134/housing-and-employment,-1.4459,55.0052,0.11,unknown ownership,not permissioned,,,,,3,,,,22/12/2017,15/04/2020,
http://opendatacommunities.org/id/metropolitan-district-council/north-tyneside,326,"Telephone Exchange, Station Road, Wallsend",http://my.northtyneside.gov.uk/category/1134/housing-and-employment,-1.53593,54.99281,0.2,unknown ownership,not permissioned,,,,,6,,,,22/12/2017,15/04/2020,
http://opendatacommunities.org/id/metropolitan-district-council/north-tyneside,337,"Whisky Bends, Promenade, Whitley Bay",http://my.northtyneside.gov.uk/category/1134/housing-and-employment,-1.43946,55.04379,0.02,owned by a public authority ,permissioned,full planning permission,16/09/2019,https://idoxpublicaccess.northtyneside.gov.uk/online-applications/caseDetails.do?caseType=Application&keyVal=POEWCHBHJXE00,,3,,,,22/12/2017,15/04/2020,
http://opendatacommunities.org/id/metropolitan-district-council/north-tyneside,338,"Garage Site, The Links, Whitley Bay",http://my.northtyneside.gov.uk/category/1134/housing-and-employment,-1.45496,55.05684,0.12,not owned by a public authority ,not permissioned,,,,,4,,,,22/12/2017,15/04/2020,
http://opendatacommunities.org/id/metropolitan-district-council/north-tyneside,339,"Former Coastways Garage, Coast Road, Wallsend",http://my.northtyneside.gov.uk/category/1134/housing-and-employment,-1.53313,55.00154,0.59,not owned by a public authority ,permissioned,full planning permission,02/03/2012,https://idoxpublicaccess.northtyneside.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=LVIOSBBH0GZ00,,14,,,,22/12/2017,15/04/2020,
http://opendatacommunities.org/id/metropolitan-district-council/north-tyneside,341,"The Avenue, Park Avenue, Whitley Bay",http://my.northtyneside.gov.uk/category/1134/housing-and-employment,-1.44552,55.04642,0.27,owned by a public authority ,permissioned,reserved matters approval,29/09/2017,https://idoxpublicaccess.northtyneside.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=ORLHT5BHH5K00,yes,12,,,,22/12/2017,15/04/2020,31/12/2019
http://opendatacommunities.org/id/metropolitan-district-council/north-tyneside,344,"Gasometer at Minton Lane, North Shields",http://my.northtyneside.gov.uk/category/1134/housing-and-employment,-1.45424,55.0028,1.63,not owned by a public authority ,not permissioned,,,,,44,,,,22/12/2017,15/04/2020,
http://opendatacommunities.org/id/metropolitan-district-council/north-tyneside,346,"Howdon Gas Works, Howdon Lane, Howdon",http://my.northtyneside.gov.uk/category/1134/housing-and-employment,-1.49536,54.99479,2.96,not owned by a public authority ,not permissioned,,,,,67,,,,22/12/2017,15/04/2020,
http://opendatacommunities.org/id/metropolitan-district-council/north-tyneside,348,"Portugal Place Block, High Street West, Wallsend",http://my.northtyneside.gov.uk/category/1134/housing-and-employment,-1.53831,54.98986,0.44,mixed ownership,not permissioned,,,,,14,23,,,22/12/2017,15/04/2020,
http://opendatacommunities.org/id/metropolitan-district-council/north-tyneside,354,"Harvey Combe, Station Road Industrial Estate, Killingworth",http://my.northtyneside.gov.uk/category/1134/housing-and-employment,-1.58199,55.03531,11,owned by a public authority ,not permissioned,,,,,144,240,,,22/12/2017,15/04/2020,
http://opendatacommunities.org/id/metropolitan-district-council/north-tyneside,355,"Tanners Bank West (N), North Shields",http://my.northtyneside.gov.uk/category/1134/housing-and-employment,-1.43519,55.01249,2.18,mixed ownership,not permissioned,,,,,49,,,,22/12/2017,15/04/2020,
http://opendatacommunities.org/id/metropolitan-district-council/north-tyneside,366,"Devonshire Drive, Whitley Road, Holystone",http://my.northtyneside.gov.uk/category/1134/housing-and-employment,-1.5309,55.02728,1.69,not owned by a public authority ,not permissioned,,,,yes,46,76,,,22/12/2017,15/04/2020,
http://opendatacommunities.org/id/metropolitan-district-council/north-tyneside,389,"Ash Court, Rake Lane, North Shields",http://my.northtyneside.gov.uk/category/1134/housing-and-employment,-1.46511,55.02694,0.2,owned by a public authority ,not permissioned,,,,,6,,,,22/12/2017,15/04/2020,
http://opendatacommunities.org/id/metropolitan-district-council/north-tyneside,390,"Tynemouth Court, Hawkey's Lane, North Shields",http://my.northtyneside.gov.uk/category/1134/housing-and-employment,-1.45649,55.01004,0.5,owned by a public authority ,pending decision,,,https://idoxpublicaccess.northtyneside.gov.uk/online-applications/caseDetails.do?caseType=Application&keyVal=PZH344BHJ7N00,,14,,,,22/12/2017,15/04/2020,
http://opendatacommunities.org/id/metropolitan-district-council/north-tyneside,392,"Whitley Bay Police Station, Laburnum Avenue, Whitley Bay",http://my.northtyneside.gov.uk/category/1134/housing-and-employment,-1.446,55.04152,0.11,owned by a public authority ,not permissioned,,,,,3,,,,22/12/2017,15/04/2020,
http://opendatacommunities.org/id/metropolitan-district-council/north-tyneside,404,"Drift Inn, Front Street, Seaton Burn",http://my.northtyneside.gov.uk/category/1134/housing-and-employment,-1.62962,55.06209,0.28,unknown ownership,permissioned,full planning permission,17/02/2012,https://idoxpublicaccess.northtyneside.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=LVQO60BH06V00,,8,14,,,22/12/2017,15/04/2020,
http://opendatacommunities.org/id/metropolitan-district-council/north-tyneside,407,"Grasmere Court, Swindale Drive, Killingworth (Former West House PH)",http://my.northtyneside.gov.uk/category/1134/housing-and-employment,-1.57589,55.0365,0.16,unknown ownership,permissioned,permission in principle,15/04/2020,https://idoxpublicaccess.northtyneside.gov.uk/online-applications/applicationDetails.do?previousCaseType=Property&keyVal=PWJC7ABH09D00&previousCaseNumber=000KWIBHBU000&previousCaseUprn=000047040651&activeTab=summary&previousKeyVal=PGHG1YBH00601,yes,5,8,,allocated for ?residential development for the purposes of section 59A of the Town and Country Planning Act 1990 (permission in principle),22/12/2017,15/04/2020,
http://opendatacommunities.org/id/metropolitan-district-council/north-tyneside,408,"Rosehill Social Club, Tynemouth Road, Wallsend",http://my.northtyneside.gov.uk/category/1134/housing-and-employment,-1.50728,54.99648,0.2,not owned by a public authority ,permissioned,full planning permission,03/11/2015,https://idoxpublicaccess.northtyneside.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=NKS9D9BHJLA00,yes,10,,,,22/12/2017,15/04/2020,
http://opendatacommunities.org/id/metropolitan-district-council/north-tyneside,409,"Cosalt Factory, Liddell Street, North Shields",http://my.northtyneside.gov.uk/category/1134/housing-and-employment,-1.44078,55.00726,0.11,unknown ownership,permissioned,full planning permission,31/03/2015,https://idoxpublicaccess.northtyneside.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=N6W6GMBHGN600,yes,22,,,,22/12/2017,15/04/2020,
http://opendatacommunities.org/id/metropolitan-district-council/north-tyneside,411,"Coleman NE Ltd, Walker Place, North Shields",http://my.northtyneside.gov.uk/category/1134/housing-and-employment,-1.43562,55.01086,0.28,not owned by a public authority ,permissioned,full planning permission,07/02/2017,https://idoxpublicaccess.northtyneside.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=NRKMX7BHL4000,,27,,,,22/12/2017,15/04/2020,
http://opendatacommunities.org/id/metropolitan-district-council/north-tyneside,412,"Trinity United Reformed Church & Hall, Esplanade, Whitley Bay",http://my.northtyneside.gov.uk/category/1134/housing-and-employment,-1.44166,55.04266,0.16,unknown ownership,not permissioned,,,,,5,,,,22/12/2017,15/04/2020,
http://opendatacommunities.org/id/metropolitan-district-council/north-tyneside,433,"Dudley Social Club, Western Terrace, Dudley",http://my.northtyneside.gov.uk/category/1134/housing-and-employment,-1.59855,55.05738,0.1,unknown ownership,permissioned,permission in principle,15/04/2020,https://idoxpublicaccess.northtyneside.gov.uk/online-applications/applicationDetails.do?keyVal=PX02NEBH09D00&activeTab=summary,,3,6,,allocated for ?residential development for the purposes of section 59A of the Town and Country Planning Act 1990 (permission in principle),22/12/2017,15/04/2020,
http://opendatacommunities.org/id/metropolitan-district-council/north-tyneside,438,"Black Bull Inn, Front Street, Benton",http://my.northtyneside.gov.uk/category/1134/housing-and-employment,-1.57552,55.01027,0.6,unknown ownership,permissioned,full planning permission,25/03/2013,https://idoxpublicaccess.northtyneside.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=MHG3LHBH09700,yes,9,,,,22/12/2017,15/04/2020,
http://opendatacommunities.org/id/metropolitan-district-council/north-tyneside,440,"Earsdon Garage, Bank Top, Earsdon",http://my.northtyneside.gov.uk/category/1134/housing-and-employment,-1.49528,55.04628,0.15,unknown ownership,permissioned,full planning permission,20/04/2011,https://idoxpublicaccess.northtyneside.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=LELR6XBHDX000,yes,8,,,,22/12/2017,15/04/2020,31/12/2019
http://opendatacommunities.org/id/metropolitan-district-council/north-tyneside,441,"Former Clousden Hill Filling Station, Great Lime Road, Forest Hall",http://my.northtyneside.gov.uk/category/1134/housing-and-employment,-1.55976,55.02603,0.28,unknown ownership,permissioned,full planning permission,02/09/2013,https://idoxpublicaccess.northtyneside.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=MPMGHZBHDX000,yes,8,,,,22/12/2017,15/04/2020,
http://opendatacommunities.org/id/metropolitan-district-council/north-tyneside,443,"West Farm, 44 Front Street, Earsdon",http://my.northtyneside.gov.uk/category/1134/housing-and-employment,-1.4999,55.04574,0.25,unknown ownership,permissioned,full planning permission,09/03/2016,https://idoxpublicaccess.northtyneside.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=NZ0HWMBHMQC00,yes,6,,,,22/12/2017,15/04/2020,31/12/2019
http://opendatacommunities.org/id/metropolitan-district-council/north-tyneside,445,"Tynemouth Motor Company, Albion Road, North Shields",http://my.northtyneside.gov.uk/category/1134/housing-and-employment,-1.45031,55.0112,0.1,unknown ownership,permissioned,outline planning permission,10/05/2012,https://idoxpublicaccess.northtyneside.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=LWI8J4BH0GZ00,yes,6,,,,22/12/2017,15/04/2020,
http://opendatacommunities.org/id/metropolitan-district-council/north-tyneside,486,"Land and buildings at Bedford Street and Clive Street, North Shields",http://my.northtyneside.gov.uk/category/1134/housing-and-employment,-1.44403,55.00635,0.4,unknown ownership,permissioned,full planning permission,19/11/1998,https://idoxpublicaccess.northtyneside.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=9801386FUL,,16,,,,22/12/2017,15/04/2020,
http://opendatacommunities.org/id/metropolitan-district-council/north-tyneside,552,Backworth Primary School,http://my.northtyneside.gov.uk/category/1134/housing-and-employment,-1.53072,55.04278,0.52,owned by a public authority ,not permissioned,,,,,14,,,,22/12/2017,15/04/2020,
http://opendatacommunities.org/id/metropolitan-district-council/north-tyneside,558,"16 John Street, Cullercoats",http://my.northtyneside.gov.uk/category/1134/housing-and-employment,-1.43429,55.03514,0.09,unknown ownership,permissioned,full planning permission,26/09/2016,https://idoxpublicaccess.northtyneside.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=O20UVXBHFPF00,yes,10,,,,22/12/2017,15/04/2020,
http://opendatacommunities.org/id/metropolitan-district-council/north-tyneside,559,"Land at Westholme Farm Social Club, Mullen Road, Wallsend",http://my.northtyneside.gov.uk/category/1134/housing-and-employment,-1.53809,55.00475,0.17,unknown ownership,permissioned,full planning permission,19/08/2015,https://idoxpublicaccess.northtyneside.gov.uk/online-applications/simpleSearchResults.do?action=firstPage,yes,6,,,,22/12/2017,15/04/2020,
http://opendatacommunities.org/id/metropolitan-district-council/north-tyneside,560,"New Winning Tavern, Church Bank, Wallsend",http://my.northtyneside.gov.uk/category/1134/housing-and-employment,-1.51946,54.99361,0.1,unknown ownership,permissioned,,,,,3,,,,22/12/2017,15/04/2020,15/04/2020
