OrganisationLabel,SiteReference,SiteNameAddress,SiteplanURL,CoordinateReferenceSystem,GeoX,GeoY,Hectares,OwnershipStatus,Deliverable,PlanningStatus,PermissionType,PermissionDate,PlanningHistory,ProposedForPIP,MinNetDwellings,DevelopmentDescription,NonHousingDevelopment,Part2,NetDwellingsRangeFrom,NetDwellingsRangeTo,HazardousSubstances,SiteInformation,FirstAddedDate,LastUpdatedDate,OrganisationURI,PreviouslyPartOf,Notes
Wychavon District Council,WDCBLR/0001,"Garage, High Street, Pershore",https://www.wychavon.gov.uk/documents/10586/8906182/WDCBLR0001+Garage%2C+High+Street%2C+Pershore.pdf/9f85d54b-e638-fec0-a0ef-6c1203c8579b,ETRS89,394889,246072,0.47,Not owned by a public authority,,Not Permissioned,,,,,20,,,,18,22,,,2017-12-28,,http://opendatacommunities.org/id/district-council/wychavon,,Development Plan Reference SWDP46/1
Wychavon District Council,WDCBLR/0002,"Garage Court, Abbots Road, Pershore",https://www.wychavon.gov.uk/documents/10586/8906182/WDCBLR0002+Garage+Court%2C+Abbots+Road%2C+Pershore.pdf/85816cf7-879b-e28c-e570-4e3ff2582d21,ETRS89,394421,245515,0.25,Not owned by a public authority,,Not Permissioned,,,,,13,,,,12,14,,,2017-12-28,,http://opendatacommunities.org/id/district-council/wychavon,,Development Plan Reference SWDP46/4
Wychavon District Council,WDCBLR/0015,"Cherry Orchard House, Cherry Orchard, Pershore",https://www.wychavon.gov.uk/documents/10586/8906182/WDCBLR0015+Cherry+Orchard+House%2C+Cherry+Orchard%2C+Pershore.pdf/288630e6-3391-807f-2605-492d11c77b8f,ETRS89,395000,246651,0.58,Not owned by a public authority,Yes,Permissioned,full planning application,2016-12-23,https://plan.wychavon.gov.uk/plandisp.aspx?recno=51402,,19,"A proposal to provide an additional 19 no. units of accommodation, for the over 55�s, on land adjacent to an existing sheltered housing scheme � new cycle and pedestrian access.",,,19,19,,https://plan.wychavon.gov.uk/plandisp.aspx?recno=51402,2017-12-28,,http://opendatacommunities.org/id/district-council/wychavon,,
Wychavon District Council,WDCBLR/0003,"Boxing Club, Kidderminster Road, Droitwich Spa",https://www.wychavon.gov.uk/documents/10586/8906182/WDCBLR0003+Boxing+Club%2C+Kidderminster+Road%2C+Droitwich+Spa.pdf/126e51a5-3345-2612-40d1-8969d57af592,ETRS89,389576,263603,0.11,Owned by a public authority,,Not Permissioned,,,https://plan.wychavon.gov.uk/plandisp.aspx?recno=15149,,10,,,,9,11,,,2017-12-28,,http://opendatacommunities.org/id/district-council/wychavon,,Development Plan Reference SWDP48/2
Wychavon District Council,WDCBLR/0004,"Acre Lane, Droitwich Spa",https://www.wychavon.gov.uk/documents/10586/8906182/WDCBLR0004+Acre+Lane%2C+Droitwich+Spa.pdf/3850a923-efc4-1b8e-0dd7-7c8d5a79a49c,ETRS89,389321,263489,0.38,Owned by a public authority,,Not Permissioned,,,,,20,,,,18,22,,,2017-12-28,,http://opendatacommunities.org/id/district-council/wychavon,,Development Plan Reference SWDP48/4
Wychavon District Council,WDCBLR/0005,"Willow Court, Westwood Road, Droitwich Spa",https://www.wychavon.gov.uk/documents/10586/8906182/WDCBLR0005+Willow+Court%2C+Westwood+Road%2C+Droitwich+Spa.pdf/dd5daf96-46c6-a525-6cc3-12defdd76fef,ETRS89,388633,263640,0.17,Owned by a public authority,,Not Permissioned,,,https://plan.wychavon.gov.uk/plandisp.aspx?recno=17244,,10,,,,9,11,,,2017-12-28,,http://opendatacommunities.org/id/district-council/wychavon,,Development Plan Reference SWDP48/5
Wychavon District Council,WDCBLR/0006,"Canal Basin (Netherwich), Droitwich Spa",https://www.wychavon.gov.uk/documents/10586/8906182/WDCBLR0006+Canal+Basin+%28Netherwich%29%2C+Droitwich+Spa.pdf/c3fe50c2-362c-49c9-5aed-d86525deb9e4,ETRS89,389629,263574,1.1,Not owned by a public authority,,Not Permissioned,,,,,80,,,,72,88,,,2017-12-28,,http://opendatacommunities.org/id/district-council/wychavon,,Development Plan Reference SWDP48/6
Wychavon District Council,WDCBLR/0011,"Raven Hotel, St Andrews Street, Droitwich Spa",https://www.wychavon.gov.uk/documents/10586/8906182/WDCBLR0011+Raven+Hotel%2C+St+Andrews+Street%2C+Droitwich+Spa.pdf/0e8fc8d6-97fc-1ab6-b63f-2ec5573c0505,ETRS89,389946,263249,1.19,Not owned by a public authority,Yes,Permissioned,full planning application,2015-10-15,https://plan.wychavon.gov.uk/plandisp.aspx?recno=44800,,51,"Mixed-Use redevelopment of the Raven Hotel and its grounds; to comprise of 51 dwellings (Use Class C3), 906m� of commercial floor space (Use Class A3/A4), landscaping, open space and ancillary car parking. Demolition of all later additions to the core Grade II listed building.",,,51,51,,https://plan.wychavon.gov.uk/plandisp.aspx?recno=44800,2017-12-28,,http://opendatacommunities.org/id/district-council/wychavon,,
Wychavon District Council,WDCBLR/0012,"Garage Blocks & Vacant Land, Drovers Way, Droitwich Spa",https://www.wychavon.gov.uk/documents/10586/8906182/WDCBLR0012+Garage+Blocks+%26+Vacant+Land%2C+Drovers+Way%2C+Droitwich+Spa.pdf/ee8bbb03-0187-9322-a912-2ef9a994ea4d,ETRS89,388948,264355,0.37,Not owned by a public authority,Yes,Permissioned,full planning application,2017-04-05,https://plan.wychavon.gov.uk/plandisp.aspx?recno=53133,,6,"Proposed Demolition Of Garage Blocks & Redevelopment Of Vacant Land Off Drovers Way, Droitwich Spa For The Erection Of 6No Affordable Houses With Re-provision Of Car Parking In Place Of Demolished Garages & Associated Site Access & Infrastructure",,,6,6,,https://plan.wychavon.gov.uk/plandisp.aspx?recno=53133,2017-12-28,,http://opendatacommunities.org/id/district-council/wychavon,,
Wychavon District Council,WDCBLR/0017,"Land off Blake Avenue and, Long Sling, Droitwich Spa",https://www.wychavon.gov.uk/documents/10586/8906182/WDCBLR0017+Land+off+Blake+Avenue+and%2C+Long+Sling%2C+Droitwich+Spa.pdf/c04b0037-16b3-a7c1-df41-d3491c817033,ETRS89,388918,262329,0.25,Owned by a public authority,Yes,Permissioned,full planning application,2016-10-24,https://plan.wychavon.gov.uk/plandisp.aspx?recno=52740,,11,Proposed Demolition Of Existing Buildings & Erection of 11No Affordable Houses With Associated Site Access & Infrastructure,,,11,11,,https://plan.wychavon.gov.uk/plandisp.aspx?recno=52740,2017-12-28,,http://opendatacommunities.org/id/district-council/wychavon,,
Wychavon District Council,WDCBLR/0007,"Employment site, top of Kings Road, Evesham",https://www.wychavon.gov.uk/documents/10586/8906182/WDCBLR0007+Employment+site%2C+top+of+Kings+Road%2C+Evesham.pdf/6bec6962-b82f-676e-7ed7-922b181fb357,ETRS89,404674,244232,3.8,Not owned by a public authority,,Not Permissioned,,,,,100,,,,90,110,,,2017-12-28,,http://opendatacommunities.org/id/district-council/wychavon,,Development Plan Reference SWDP50/2
Wychavon District Council,WDCBLR/0008,"Land off Davies Road, (former leisure centre), Evesham",https://www.wychavon.gov.uk/documents/10586/8906182/WDCBLR0008+Land+off+Davies+Road%2C+%28former+leisure+centre%29%2C+Evesham.pdf/1c7f9ffb-e2f5-b915-fd0f-f4602c09a61c,ETRS89,403656,242498,1.21,Owned by a public authority,,Not Permissioned,,,,,36,,,,33,39,,,2017-12-28,,http://opendatacommunities.org/id/district-council/wychavon,,Development Plan Reference SWDP50/4
Wychavon District Council,WDCBLR/0013,"Former gas Depo, Common Road, Evesham",https://www.wychavon.gov.uk/documents/10586/8906182/WDCBLR0013+Former+gas+Depo%2C+Common+Road%2C+Evesham.pdf/239fddc3-bcbb-5591-419a-a0c51abf1b50,ETRS89,404134,243997,1.2,Not owned by a public authority,Yes,Permissioned,full planning application,2016-06-06,https://plan.wychavon.gov.uk/plandisp.aspx?recno=48723,,123,A new planning application to replace planning permission ref no W/07/00948/PN (Appeal ref no APP/H1840/A/09/2118031) for erection of 123 dwellings with 9 commercial units.,,,123,123,,https://plan.wychavon.gov.uk/plandisp.aspx?recno=48723,2017-12-28,,http://opendatacommunities.org/id/district-council/wychavon,,
Wychavon District Council,WDCBLR/0018,"Land adjoining and including, 1 Castle Street, Evesham",https://www.wychavon.gov.uk/documents/10586/8906182/WDCBLR0018+Land+adjoining+and+including%2C+1+Castle+Street%2C+Evesham.pdf/1a5570d2-329c-ecda-bd0f-a056038e0b80,ETRS89,404114,243704,0.04,Not owned by a public authority,Yes,Permissioned,full planning application,2017-07-18,https://plan.wychavon.gov.uk/plandisp.aspx?recno=54134,,9,Proposed residential accommodation consisting 9 flats with undercroft. In lieu of application W/13/01952/PN and extant consent 98/0496.,,,9,9,,https://plan.wychavon.gov.uk/plandisp.aspx?recno=54134,2017-12-28,,http://opendatacommunities.org/id/district-council/wychavon,,
Wychavon District Council,WDCBLR/0019,"Bear Garage, Burford Road, Evesham",https://www.wychavon.gov.uk/documents/10586/8906182/WDCBLR0019+Bear+Garage%2C+Burford+Road%2C+Evesham.pdf/54a823f0-b52e-ea64-4df5-93cec5911b61,ETRS89,404243,243638,0.14,Not owned by a public authority,,Not Permissioned,full planning application,2015-09-18,https://plan.wychavon.gov.uk/plandisp.aspx?recno=48584,,5,Demolition of existing garage and erection of 5 dwellings,,,4,6,,https://plan.wychavon.gov.uk/plandisp.aspx?recno=48584,2017-12-28,,http://opendatacommunities.org/id/district-council/wychavon,,
Wychavon District Council,WDCBLR/0020,"1 Chapel Street, Evesham",https://www.wychavon.gov.uk/documents/10586/8906182/WDCBLR0020+1+Chapel+Street%2C+Evesham.pdf/b263c870-9f3d-5290-a9b8-a660cdc87920,ETRS89,403940,243950,0.02,Not owned by a public authority,Yes,Permissioned,full planning application,2017-05-05,https://plan.wychavon.gov.uk/plandisp.aspx?recno=54055,,5,Demolition of industrial unit and replacement with single building incorporating 5 flats,,,5,5,,https://plan.wychavon.gov.uk/plandisp.aspx?recno=54055,2017-12-28,,http://opendatacommunities.org/id/district-council/wychavon,,
Wychavon District Council,WDCBLR/0021,"50 High Street, Evesham (Barclays Bank)",https://www.wychavon.gov.uk/documents/10586/8906182/WDCBLR0021+50+High+Street%2C+Evesham+%28Barclays+Bank%29.pdf/612fe088-6d75-ac35-0d67-1b336d351006,ETRS89,403777,243919,0.05,Not owned by a public authority,Yes,Permissioned,full planning application,2017-08-01,https://plan.wychavon.gov.uk/plandisp.aspx?recno=91400,,7,Change of use of 1st and 2nd floors of existing Grade II Listed Building from commercial to residential. To create 7 units consisting of 4x 1 bedroom flats and 3 x 2 bedroom flats. To include 2nd floor extension and bin & cycle stores. ,,,7,7,,https://plan.wychavon.gov.uk/plandisp.aspx?recno=91400,2017-12-28,,http://opendatacommunities.org/id/district-council/wychavon,,
Wychavon District Council,WDCBLR/0009,"Garage site off A422 and land to the rear, Upton Snodsbury",https://www.wychavon.gov.uk/documents/10586/8906182/WDCBLR0009+Garage+Site+Upton+Snodsbury.pdf/175bac29-098c-bab0-4576-67d0e1c20ff4,ETRS89,394062,254450,1.12,Not owned by a public authority,,Not Permissioned,,,https://plan.wychavon.gov.uk/plandisp.aspx?recno=91636,,16,,,,15,17,,,2017-12-28,,http://opendatacommunities.org/id/district-council/wychavon,,Development Plan Reference SWDP60/28
Wychavon District Council,WDCBLR/0010,"Defford Motors, Upton Road, Defford",https://www.wychavon.gov.uk/documents/10586/8906182/WDCBLR0010+Defford+Motors%2C+Upton+Road%2C+Defford.pdf/4630f40d-83fe-a095-4af7-410d597db65b,ETRS89,392119,243164,0.33,Not owned by a public authority,Yes,Permissioned,Outline planning permission,2016-04-04,https://plan.wychavon.gov.uk/plandisp.aspx?recno=44380,,8,Proposed redevelopment of site to create 8 residential units,,,7,9,,https://plan.wychavon.gov.uk/plandisp.aspx?recno=44380,2017-12-28,,http://opendatacommunities.org/id/district-council/wychavon,,
Wychavon District Council,WDCBLR/0014,"Fancutts Garage, High Street, Honeybourne",https://www.wychavon.gov.uk/documents/10586/8906182/WDCBLR0014+Fancutts+Garage%2C+High+Street%2C+Honeybourne.pdf/8d32449e-1e0d-6a6c-e8cf-7ba4d2194c88,ETRS89,411486,243895,0.34,Not owned by a public authority,Yes,Permissioned,full planning application,2017-06-02,https://plan.wychavon.gov.uk/plandisp.aspx?recno=90456,,8,"Planning application for demolition of disused garage and erection of 8 dwellings, access, landscaping and associated works",,,8,8,,https://plan.wychavon.gov.uk/plandisp.aspx?recno=90456,2017-12-28,,http://opendatacommunities.org/id/district-council/wychavon,,
Wychavon District Council,WDCBLR/0016,"Long Lartin Social Club, Meadow Road, South Littleton, Evesham",https://www.wychavon.gov.uk/documents/10586/8906182/WDCBLR0016+Long+Lartin+Social+Club%2C+Meadow+Road%2C+South+Littleton.pdf/91102c2b-0694-0745-895c-edf9e4ae0fc2,ETRS89,409455,245736,0.29,Not owned by a public authority,Yes,Permissioned,full planning application,2016-11-17,https://plan.wychavon.gov.uk/plandisp.aspx?recno=52760,,9,Demolition of existing building and erection of 9 residential dwellings.,,,9,9,,https://plan.wychavon.gov.uk/plandisp.aspx?recno=52760,2017-12-28,,http://opendatacommunities.org/id/district-council/wychavon,,
