OrganisationURI,SiteReference,SiteNameAddress,SiteplanURL,GeoY,GeoX,Hectares,OwnershipStatus,PlanningStatus,PermissionType,PermissionDate,PlanningHistory,Deliverable,NetDwellingsRangeFrom,NetDwellingsRangeTo,HazardousSubstances,Notes,FirstAddedDate,LastUpdatedDate
http://opendatacommunities.org/id/district-council/teignbridge,BFR001,"Glendaragh, Barn Park Road, Teignmouth TQ14 8PN",www.teignbridge.gov.uk/planning/forms/planning-application-details/?Type=Application&Refval=01%2f03478%2fCOU,294282,73277,0.26,not owned by a public authority,permissioned,full planning permission,26/10/2001,,yes,15,15,,Part of this site was started in 2002,01/11/2017,21/12/2018
http://opendatacommunities.org/id/district-council/teignbridge,BFR002,"Rosemary Avenue, Newton Abbot TQ12 1SB",www.teignbridge.gov.uk/planning/forms/planning-application-details/?Type=Application&Refval=05%2f04278%2fFUL,284837,71739,0.12,not owned by a public authority,permissioned,full planning permission,22/03/2006,,yes,6,6,,Groundworks commenced keeping this live,01/11/2017,21/12/2018
http://opendatacommunities.org/id/district-council/teignbridge,BFR003,"Platway House, Torquay Road, Shaldon TQ14 0AU",www.teignbridge.gov.uk/planning/forms/planning-application-details/?Type=Application&Refval=08%2f01449%2fMAJ,292935,72171,0.47,not owned by a public authority,permissioned,full planning permission,01/07/2008,,yes,9,9,,started,01/11/2017,21/12/2018
http://opendatacommunities.org/id/district-council/teignbridge,BFR004,"Shapters Yard, Strand Hill, Dawlish EX7 9PS",www.teignbridge.gov.uk/planning/forms/planning-application-details/?Type=Application&Refval=12%2f01811%2fFUL,296243,76779,0.04,not owned by a public authority,permissioned,full planning permission,31/07/2012,,yes,9,9,,completed,01/11/2017,21/12/2018
http://opendatacommunities.org/id/district-council/teignbridge,BFR005,"Former Wolborough Hospital, Old Totnes Road, Newton Abbot TQ12 6AA",www.teignbridge.gov.uk/planning/forms/planning-application-details/?Type=Application&Refval=13%2f01497%2fMAJ,285183,70226,1.14,not owned by a public authority,permissioned,full planning permission,21/01/2013,,yes,13,15,,started,01/11/2017,21/12/2018
http://opendatacommunities.org/id/district-council/teignbridge,BFR006,"Holcombe Hall, Holcombe Drive, Dawlish  EX7 0JW",www.teignbridge.gov.uk/planning/forms/planning-application-details/?Type=Application&Refval=13%2f02517%2fFUL,295684,74777,0.73,not owned by a public authority,permissioned,full planning permission,10/10/2014,,yes,7,7,,completed,01/11/2017,21/12/2018
http://opendatacommunities.org/id/district-council/teignbridge,BFR007,"14 Barton Villas, Dawlish EX7 9QJ",www.teignbridge.gov.uk/planning/forms/planning-application-details/?Type=Application&Refval=13%2f03658%2fFUL,295546,76614,0.04,not owned by a public authority,permissioned,full planning permission,10/10/2014,,yes,5,5,,started,01/11/2017,21/12/2018
http://opendatacommunities.org/id/district-council/teignbridge,BFR008,"22 - 26 Wolborough Street, Newton Abbot TQ12 1JJ",www.teignbridge.gov.uk/planning/forms/planning-application-details/?Type=Application&Refval=17%2f02715%2fMAJ,285743,71200,0.18,not owned by a public authority,permissioned,full planning permission,10/10/2014,,yes,38,38,,started,01/11/2017,21/12/2018
http://opendatacommunities.org/id/district-council/teignbridge,BFR009,"Clay Lane, Teignmouth TQ14 8FW",www.teignbridge.gov.uk/planning/forms/planning-application-details/?Type=Application&Refval=14%2f01918%2fMAJ,293729,73004,0.08,not owned by a public authority,permissioned,full planning permission,09/10/2014,,yes,21,21,,2 phase scheme part 1 completed in 2009 - this phase started,01/11/2017,21/12/2018
http://opendatacommunities.org/id/district-council/teignbridge,BFR010,"land at Ilford Park, Stover, Newton Abbot TQ12 6PW",www.teignbridge.gov.uk/planning/forms/planning-application-details/?Type=Application&Refval=14%2f02580%2fMAJ,282740,74738,26.45,not owned by a public authority,permissioned,full planning permission,01/06/2016,,yes,23,23,,,01/11/2017,21/12/2018
http://opendatacommunities.org/id/district-council/teignbridge,BFR011,"5 George Street, Teignmouth TQ14 8AH",www.teignbridge.gov.uk/planning/forms/planning-application-details/?Type=Application&Refval=14%2f03008%2fCOU,294040,72875,0.03,not owned by a public authority,permissioned,full planning permission,26/01/2015,,yes,8,8,,started,01/11/2017,21/12/2018
http://opendatacommunities.org/id/district-council/teignbridge,BFR012,"17 Bank Street, Newton Abbot TQ12 2JL",www.teignbridge.gov.uk/planning/forms/planning-application-details/?Type=Application&Refval=14%2f03632%2fFUL,285777,71281,0.04,not owned by a public authority,permissioned,full planning permission,07/05/2015,,yes,7,7,,started,01/11/2017,21/12/2018
http://opendatacommunities.org/id/district-council/teignbridge,BFR013,"Littlehayes, 9 East Cliff Road, Dawlish EX7 0BP",www.teignbridge.gov.uk/planning/forms/planning-application-details/?Type=Application&Refval=15%2f00726%2fMAJ,296412,76953,0.14,not owned by a public authority,permissioned,full planning permission,26/01/2016,,yes,9,9,,completed,01/11/2017,21/12/2018
http://opendatacommunities.org/id/district-council/teignbridge,BFR014,"RMS Motors, Pottery Road, Bovey Tracey TQ13 9DS",www.teignbridge.gov.uk/planning/forms/planning-application-details/?Type=Application&Refval=15%2f00776%2fMAJ,281544,77091,0.51,not owned by a public authority,permissioned,full planning permission,28/08/2015,,yes,14,14,,completed,01/11/2017,21/12/2018
http://opendatacommunities.org/id/district-council/teignbridge,BFR015,"Shell Cove House, 19 Old Teignmouth Road, Dawlish EX7 0NJ",www.teignbridge.gov.uk/planning/forms/planning-application-details/?Type=Application&Refval=16/00300/MAJ,295898,75651,2.8,not owned by a public authority,permissioned,full planning permission,24/03/2016,,yes,34,34,,started 2 applications,01/11/2017,21/12/2018
http://opendatacommunities.org/id/district-council/teignbridge,BFR016,"Langdon Hospital, Dawlish EX7 0NS",www.teignbridge.gov.uk/planning/forms/planning-application-details/?Type=Application&Refval=15%2f02700%2fMAJ,296158,78672,11.11,not owned by a public authority,permissioned,outline planning permission,13/09/2016,,yes,26,34,,only approx 1.04 ha brownfield,01/11/2017,21/12/2018
http://opendatacommunities.org/id/district-council/teignbridge,BFR017,"Bishop Dunstan School, 16 South Road, Newton Abbot TQ12 1HH",www.teignbridge.gov.uk/planning/forms/planning-application-details/?Type=Application&Refval=15%2f02732%2fMAJ,285867,70615,2.73,not owned by a public authority,permissioned,full planning permission,18/07/2016,,yes,27,27,,started,01/11/2017,21/12/2018
http://opendatacommunities.org/id/district-council/teignbridge,BFR018,"Conitor House, Denbury Road, Ogwell, Newton Abbot  TQ12 6AD",www.teignbridge.gov.uk/planning/forms/planning-application-details/?Type=Application&Refval=15%2f02943%2fNPA,284988,69690,0.25,not owned by a public authority,permissioned,full planning permission,15/12/2015,,yes,11,11,,completed,01/11/2017,21/12/2018
http://opendatacommunities.org/id/district-council/teignbridge,BFR019,"Peppermint Club, Warren Road, Dawlish Warren, Dawlish EX7 0PQ",www.teignbridge.gov.uk/planning/forms/planning-application-details/?Type=Application&Refval=17/02565/MAJ,297753,78620,0.47,not owned by a public authority,permissioned,full planning permission,08/01/2017,,yes,21,21,,,01/11/2017,21/12/2018
http://opendatacommunities.org/id/district-council/teignbridge,BFR020,"2 Old Town Street, Dawlish EX7 9AL",www.teignbridge.gov.uk/planning/forms/planning-application-details/?Type=Application&Refval=16%2f00464%2fFUL,295691,76836,0.15,not owned by a public authority,permissioned,full planning permission,13/07/2016,,yes,9,9,,started,01/11/2017,21/12/2018
http://opendatacommunities.org/id/district-council/teignbridge,BFR021,"Kingsteignton Community Resource Centre, Greenhill Road, Kingsteignton TQ12 3BD",www.teignbridge.gov.uk/planning/forms/planning-application-details/?Type=Application&Refval=16%2f00477%2fMAJ,287367,72848,0.98,not owned by a public authority,permissioned,full planning permission,28/10/2016,,yes,36,36,,completed,01/11/2017,21/12/2018
http://opendatacommunities.org/id/district-council/teignbridge,BFR022,"Land At Former Treston House, Dawlish  EX7 0BL",www.teignbridge.gov.uk/planning/forms/planning-application-details/?Type=Application&Refval=16/00528/MAJ,296160,77147,1.14,not owned by a public authority,permissioned,full planning permission,28/07/2017,,yes,27,27,,completed,01/11/2017,21/12/2018
http://opendatacommunities.org/id/district-council/teignbridge,BFR023,"Blenheim, Brimley Road, Bovey Tracey TQ13 9DH",www.teignbridge.gov.uk/planning/forms/planning-application-details/?Type=Application&Refval=16%2f02013%2fFUL,280716,77303,0.32,not owned by a public authority,permissioned,full planning permission,08/12/2016,,yes,5,5,,,01/11/2017,21/12/2018
http://opendatacommunities.org/id/district-council/teignbridge,BFR024,"Prospect Chapel, 5 Torquay Road, Newton Abbot TQ12 2LJ",www.teignbridge.gov.uk/planning/forms/planning-application-details/?Type=Application&Refval=16%2f02132%2fFUL,286306,71127,0.06,not owned by a public authority,permissioned,full planning permission,19/01/2017,,yes,9,9,,started,01/11/2017,21/12/2018
http://opendatacommunities.org/id/district-council/teignbridge,BFR025,"The Old Brewery, 45 High Street, Dawlish EX7 9HF",www.teignbridge.gov.uk/planning/forms/planning-application-details/?Type=Application&Refval=16%2f02723%2fFUL,295994,76820,0.02,not owned by a public authority,permissioned,full planning permission,10/03/2017,,yes,6,6,,completed,01/11/2017,21/12/2018
http://opendatacommunities.org/id/district-council/teignbridge,BFR026,"Charterhouse Residential Care Home, Second Drive, Teignmouth TQ14 8TL",www.teignbridge.gov.uk/planning/forms/planning-application-details/?Type=Application&Refval=16%2f02794%2fFUL,294685,74017,0.23,not owned by a public authority,permissioned,full planning permission,14/07/2017,,yes,9,9,,completed,01/11/2017,21/12/2018
http://opendatacommunities.org/id/district-council/teignbridge,BFR027,"former Queens Hotel, 142-148 Queen Street, Newton Abbot TQ12 2EZ",www.teignbridge.gov.uk/planning/forms/planning-application-details/?Type=Application&Refval=16%2f02929%2fMAJ,286638,71298,0.1,not owned by a public authority,permissioned,full planning permission,30/03/2017,,yes,21,21,,started,01/11/2017,21/12/2018
http://opendatacommunities.org/id/district-council/teignbridge,BFR028,"Tracey Vale Retirement Home, Brimley Vale, Bovey Tracey TQ13 9EA",www.teignbridge.gov.uk/planning/forms/planning-application-details/?Type=Application&Refval=17%2f00452%2fMAJ,281100,77724,0.42,not owned by a public authority,permissioned,full planning permission,15/06/2017,,yes,10,10,,started,01/11/2017,21/12/2018
http://opendatacommunities.org/id/district-council/teignbridge,BFR029,"KS3 Land at Abbrook, Kingsteignton",www.teignbridge.gov.uk/planning/forms/teignbridge-local-plan-interactive-map/?uprn=010032958126&x=286574&y=74478,286490,74450,1.56,not owned by a public authority,not permissioned,other,,,yes,34,44,,only approx 1.38ha brownfield,01/11/2017,21/12/2018
http://opendatacommunities.org/id/district-council/teignbridge,BFR030,"Bradley Lane, Newton Abbot",www.teignbridge.gov.uk/planning/forms/teignbridge-local-plan-interactive-map/?uprn=010032978058&x=285429&y=71237,285456,71232,5.6,owned by a public authority,not permissioned,other,,,yes,170,170,,,01/11/2017,21/12/2018
http://opendatacommunities.org/id/district-council/teignbridge,BFR031,"NA3A Beverley Way, Newton Abbot",www.teignbridge.gov.uk/planning/forms/teignbridge-local-plan-interactive-map/?uprn=100040315214&x=285188&y=70592,285165,70620,0.19,not owned by a public authority,pending decision,other,,,yes,5,5,,application for 5 dwellings only,01/11/2017,21/12/2018
http://opendatacommunities.org/id/district-council/teignbridge,BFR032,"Town Centre, Newton Abbot",www.teignbridge.gov.uk/planning/forms/teignbridge-local-plan-interactive-map/?uprn=010032979642&x=285615&y=71448,285809,71393,4.5,owned by a public authority,not permissioned,other,,,yes,120,120,,,01/11/2017,21/12/2018
http://opendatacommunities.org/id/district-council/teignbridge,BFR033,"TE4 Brunswick Street, Teignmouth",www.teignbridge.gov.uk/planning/forms/teignbridge-local-plan-interactive-map/?uprn=010032978529&x=294050&y=72662,294002,72794,0.32,owned by a public authority,permissioned,planning permission granted under an order,12/04/2016,,yes,40,40,,,01/11/2017,21/12/2018
