Organisation URI,Organisation Label,Site Reference,Previously Part Of,Site Name Address,Site Plan URL,Coordinate Reference System,GeoX,GeoY,Hectares,Ownership Status,Deliverable,Planning Status,Permission Type,Permission Date,Planning History,Proposed For PIP,Min Net Dwellings,Development Description,Non Housing Development,Part 2,Net Dwellings Range From,Net Dwellings Range To,Hazardous Substances,Site Information,Notes,First Added Date,Last Updated Date,Alternative References,Owners,Housing Delivery Estimate,Site status
http://opendatacommunities.org/id/district-council/south-norfolk,South Norfolk Council,S/ASL/001,,"""Cooper's scrapyard, Church Road, Aslacton""",https://www.arcgis.com/apps/webappviewer/index.html?id=64110f1c89b340938fdc601e639d063e&query=BrownfieldSites_8038_0%2CAlt_Ref%2CASL%201,OSGB36,616025,291035,0.82,Not owned by a public authority,Yes,Permissioned,Outline planning permission,27/03/2007,https://info.south-norfolk.gov.uk/online-applications/,,15,"""Redevelopment for residential development for 15 dwellings""",,,,,,,"""Allocated site (ASL1) Outline planning permission (2006/0171) for 15 dwellings. ",31/12/2017,31/12/2017,ASL1,Not known,2021-22,Started
http://opendatacommunities.org/id/district-council/south-norfolk,South Norfolk Council,S/CAR/001,,"""Cook's Garage, Carleton Rode""",https://www.arcgis.com/apps/webappviewer/index.html?id=64110f1c89b340938fdc601e639d063e&query=BrownfieldSites_8038_0%2CAlt_Ref%2C2010%2F1776,OSGB36,611881,291518,0.23,Not owned by a public authority,Yes,Permissioned,Full planning permission,27/01/2014,https://info.south-norfolk.gov.uk/online-applications/,,6,"""Redevelopment and conversionfor 6 dwellings""",,,,,,,"""Outline planning permission (2010/1776) and reserved matters (2013/0277 and 2013/1897) for 4 dwellings and conversion for 2 units.  Under construction, almost complete""",31/12/2017,31/12/2017,,Not known,2017-18,Started
http://opendatacommunities.org/id/district-council/south-norfolk,South Norfolk Council,S/COS/001,,"""Costessey: North of the River Tud/Queen's Hills""",https://www.arcgis.com/apps/webappviewer/index.html?id=64110f1c89b340938fdc601e639d063e&query=BrownfieldSites_8038_0%2CAlt_Ref%2C2015%2F0570,OSGB36,615046,312116,0.39,Not owned by a public authority,Yes,Permissioned,Full planning permission,25/08/2015,https://info.south-norfolk.gov.uk/online-applications/,,26,"""Redevelopment for residential development for 304 dwellings, of which approx 87 units are on pdl""",,,,,,,"""Outline planning permissions (2007/1443, 2008/1569), reserved matters and full planning permission (2015/0570) for 304 dwellings of which approx 87 units are on pdl""",31/12/2017,31/12/2017,,Not known,2018-2019,Not started
http://opendatacommunities.org/id/district-council/south-norfolk,South Norfolk Council,S/CRI/001,,"""The Business Centre, Intwood Road, Cringleford""",https://www.arcgis.com/apps/webappviewer/index.html?id=64110f1c89b340938fdc601e639d063e&query=BrownfieldSites_8038_0%2CAlt_Ref%2C2015%2F2843,OSGB36,619847,305736,0.65,Not owned by a public authority,,Permissioned,Other,03/02/2015,https://info.south-norfolk.gov.uk/online-applications/,,35,"""Prior approval for change of use from office to residential for 35 dwellings""",,,,,,,"""Prior approval (2015/2843) for change of use from offices to 35 dwellings""",31/12/2017,31/12/2017,,Not known,2022-2023,Not started
http://opendatacommunities.org/id/district-council/south-norfolk,South Norfolk Council,S/DIS/001,,"""Former Haulage Depot, Park Road, Diss""",https://www.arcgis.com/apps/webappviewer/index.html?id=64110f1c89b340938fdc601e639d063e&query=BrownfieldSites_8038_0%2CAlt_Ref%2CDIS%205,OSGB36,613110,279028,0.84,Not owned by a public authority,Yes,Permissioned,Full planning permission,17/03/2017,https://info.south-norfolk.gov.uk/online-applications/,,15,"""Residential development for 6 apartments""",,,,,,,"""Allocated site (DIS5) and Full planning permission (2017/0042) on part of site""",31/12/2017,31/12/2017,DIS5,Not known,2019-2020,Not started
http://opendatacommunities.org/id/district-council/south-norfolk,South Norfolk Council,S/DIS/002,,"""Former Hamlin's Factory site, Diss""",https://www.arcgis.com/apps/webappviewer/index.html?id=64110f1c89b340938fdc601e639d063e&query=BrownfieldSites_8038_0%2CAlt_Ref%2CDIS%206,OSGB36,611521,279564,1.51,Not owned by a public authority,,Not permissioned,,,https://info.south-norfolk.gov.uk/online-applications/,,13,"""Mixed use development including residential (25% of site)""","""Allocation includes 75% of site for retail (non-food goods) leisure, offices (class A2)""",,,,,,"""Mixed use allocated site (DIS6) for retail (non-food goods) leisure, offices (class A2) and housing (25%) of site""",31/12/2017,31/12/2017,DIS6,Not known ,2022-23,Not started
http://opendatacommunities.org/id/district-council/south-norfolk,South Norfolk Council,S/DIS/003,,"""Feather Factory site, Diss""",https://www.arcgis.com/apps/webappviewer/index.html?id=64110f1c89b340938fdc601e639d063e&query=BrownfieldSites_8038_0%2CAlt_Ref%2CDIS%207,OSGB36,611389,279535,2.13,Not owned by a public authority,,Not permissioned,,,https://info.south-norfolk.gov.uk/online-applications/,,17,"""Mixed use development including residential (25% of site)""","""Allocation includes 75% of site for retail (non-food goods) leisure, offices (class A2)""",,,,,,"""Mixed use allocated site (DIS7)  for retail (non-food goods) leisure, offices (class A2) and housing (25%) of site""",31/12/2017,31/12/2017,DIS7,Not known,2022-23,Not started
http://opendatacommunities.org/id/district-council/south-norfolk,South Norfolk Council,S/DIS/004,,"""Rackham's Builders Yard, Diss""",https://www.arcgis.com/apps/webappviewer/index.html?id=64110f1c89b340938fdc601e639d063e&query=BrownfieldSites_8038_0%2CAlt_Ref%2C2016%2F2000 ,OSGB36,610959,279637,0.16,Not owned by a public authority,,Permissioned,Full planning permission,09/12/2016,https://info.south-norfolk.gov.uk/online-applications/,,6,"""Redevelopment of site to provide 3 dwellings and conversion of offices to provide 3 units""",,,,,,,"""Full planning permission (2016/2000) for 3 dwellings and conversion for 3 units""",31/12/2017,31/12/2017,,Not known,2018-19,Not started
http://opendatacommunities.org/id/district-council/south-norfolk,South Norfolk Council,S/FOR/001,,"""Old Station Yard, Station Road, Forncett""",https://www.arcgis.com/apps/webappviewer/index.html?id=64110f1c89b340938fdc601e639d063e&query=BrownfieldSites_8038_0%2CAlt_Ref%2C2014%2F0290 ,OSGB36,617400,293454,1.77,Not owned by a public authority,,Permissioned,Reserved matters approval,29/05/2014,https://info.south-norfolk.gov.uk/online-applications/,,,"""Redevelopment of site to provide 17 dwellings""",,,,,,,"""Outline permission (2011/0016) and reserved matters approval (2014/0290) for 17 dwellings; 16 completed""",31/12/2017,31/12/2017,,Not known,2017-18,Started
http://opendatacommunities.org/id/district-council/south-norfolk,South Norfolk Council,S/FRA/001,,"""Long Lane, Framingham Earl""",https://www.arcgis.com/apps/webappviewer/index.html?id=64110f1c89b340938fdc601e639d063e&query=BrownfieldSites_8038_0%2CAlt_Ref%2C2013%2F1904 ,OSGB36,626889,302815,1.23,Not owned by a public authority,Yes,Permissioned,Full planning permission,02/12/2016,https://info.south-norfolk.gov.uk/online-applications/,,7,"""Demolition and removal of former RAF buildings and residentialdevelopment of 7 dwellings""",,,,,,,"""Outline permission (2013/1904) for 7 dwellings and reserved matters (2016/1329) for 4 of these""",31/12/2017,31/12/2017,,Not known,2017-18,Started
http://opendatacommunities.org/id/district-council/south-norfolk,South Norfolk Council,S/HAL/001,,"""Former workshop, Yarmouth Road, Hales""",https://www.arcgis.com/apps/webappviewer/index.html?id=64110f1c89b340938fdc601e639d063e&query=BrownfieldSites_8038_0%2CAlt_Ref%2C2011%2F0026 ,OSGB36,637883,297393,0.36,Not owned by a public authority,Yes,Permissioned,Full planning permission,09/10/2013,https://info.south-norfolk.gov.uk/online-applications/,,10,"""Redevelopment for 10 dwellings and 291 sq m B1 use""","""Permission includes 291 sqm B1 use""",,,,,,"""Full permission (2011/0026) for 10 dwellings and 291 sqm B1 use""",31/12/2017,31/12/2017,,Not known ,2018-19,Started
http://opendatacommunities.org/id/district-council/south-norfolk,South Norfolk Council,S/HAR/001,,"""Former Howard Rotavator Works, Mendham Lane, Harleston""",https://www.arcgis.com/apps/webappviewer/index.html?id=64110f1c89b340938fdc601e639d063e&query=BrownfieldSites_8038_0%2CAlt_Ref%2CHAR%203 ,OSGB36,624994,282971,0.95,Not owned by a public authority,Yes,Permissioned,Outline planning permission,28/01/2015,https://info.south-norfolk.gov.uk/online-applications/,,35,"""Redevelopment for residential development for 35 dwellings""",,,,,,,"""Allocated site (HAR3) and outline permission (2014/0184) for 35 dwellings""",31/12/2017,31/12/2017,HAR3,Not known,2018-19,Not started
http://opendatacommunities.org/id/district-council/south-norfolk,South Norfolk Council,S/HAR/002,,"""Maltings, Tudor Rose Way, Harleston""",https://www.arcgis.com/apps/webappviewer/index.html?id=64110f1c89b340938fdc601e639d063e&query=BrownfieldSites_8038_0%2CAlt_Ref%2C2012%2F1558 ,OSGB36,624580,283592,0.13,Not owned by a public authority,Yes,Permissioned,Full planning permission,06/12/2012,https://info.south-norfolk.gov.uk/online-applications/,,5,"""Conversion of former mill to provide 5 dwellings""",,,,,,,"""Full planning permission (2010/1992, 2011/0419, 2012/1558) for conversion for 5 dwellings""",31/12/2017,31/12/2017,,Not known,2018-19,Not started
http://opendatacommunities.org/id/district-council/south-norfolk,South Norfolk Council,S/LON/001,,"""Former Cygnet House Care Home, Long Stratton""",https://www.arcgis.com/apps/webappviewer/index.html?id=64110f1c89b340938fdc601e639d063e&query=BrownfieldSites_8038_0%2CAlt_Ref%2C2015%2F0385 ,OSGB36,619531,293062,2.39,Not owned by a public authority,Yes,Permissioned,Reserved matters approval,18/03/2016,https://info.south-norfolk.gov.uk/online-applications/,,50,"""Demolition and redevelopment for 50 dwellings and 800 sqm offices (B1a)""","""Permission includes 800 sqm office (B1(a)) use""",,,,,,"""Outline planning permission (2013/0265) and reserved matters approval (2015/0385) for redevelopment for 50 dwellings and 800 sqm office (class B1a)"" ",31/12/2017,31/12/2017,,Not known,2017-18,Started
http://opendatacommunities.org/id/district-council/south-norfolk,South Norfolk Council,S/LON/002,,"""39 Swan Lane, Long Stratton""",https://www.arcgis.com/apps/webappviewer/index.html?id=64110f1c89b340938fdc601e639d063e&query=BrownfieldSites_8038_0%2CAlt_Ref%2C2016%2F0904 ,OSGB36,619373,293026,0.07,Not owned by a public authority,Yes,Permissioned,Full planning permission,08/06/2016,https://info.south-norfolk.gov.uk/online-applications/,,5,"""Demolition and redevelopment of house/office for 6 flats""",,,,,,,"""Full planning permission (2016/0904) for rededelopment of house / office for 6 one bedroom flats""",31/12/2017,31/12/2017,,Not known,2017-18,Started
http://opendatacommunities.org/id/district-council/south-norfolk,South Norfolk Council,S/TRO/001,,"""May Gurney & Keir site & Carrow Yacht Club, Trowse""",https://www.arcgis.com/apps/webappviewer/index.html?id=64110f1c89b340938fdc601e639d063e&query=BrownfieldSites_8038_0%2CAlt_Ref%2C2011%2F0152 ,OSGB36,624621,307167,2.78,Not owned by a public authority,,Permissioned,Outline planning permission,12/07/2013,https://info.south-norfolk.gov.uk/online-applications/,,90,"""Redevelopment for 670 dwellings and commercial uses, 580 of the units are in Norwich City Council area""","""Permission includescommercial uses (A1,A2,A3) restaurant and public house (A3/A4) (2475 sqm gross internal floorspace)""",,,,,,"""Outline permission (2011/0152) for 670 dwellings, commercial uses, restaurant and public house.  Overlaps district boundary, with 580 units located in Norwich City Council area"".",31/12/2017,31/12/2017,,Not known,2022- 2027,Not started
http://opendatacommunities.org/id/district-council/south-norfolk,South Norfolk Council,S/WIC/001,,"""High Oaks Works, Wicklewood""",https://www.arcgis.com/apps/webappviewer/index.html?id=64110f1c89b340938fdc601e639d063e&query=BrownfieldSites_8038_0%2CAlt_Ref%2C2011%2F0664 ,OSGB36,607115,301047,1.59,Not owned by a public authority,Yes,Permissioned,Reserved matters approval,22/05/2014,https://info.south-norfolk.gov.uk/online-applications/,,6,"""Redevelopment for 6 dwellings""",,,,,,,"""Outline permission (2011/0664) and reserved matters approval (2014/0259) for redevelopment of industrial area for 6 dwellings""",31/12/2017,31/12/2017,,Not known,2017-18,Started
http://opendatacommunities.org/id/district-council/south-norfolk,South Norfolk Council,S/WYM/001,,"""Former Sale Ground,  Cemetery Rd, Wymondham""",https://www.arcgis.com/apps/webappviewer/index.html?id=64110f1c89b340938fdc601e639d063e&query=BrownfieldSites_8038_0%2CAlt_Ref%2CWYM%202 ,OSGB36,611371,301060,1.88,Not owned by a public authority,Yes,,,,https://info.south-norfolk.gov.uk/online-applications/,,64,"""Redevelopment for 64 dwellings and commercial use""","""Allocation includes an element of commercial use""",,,,,,"""Allocated site (WYM2) for mixed use - 64 dwellings and an element of commercial use""",31/12/2017,31/12/2017,WYM2,Not known,2020-22,Not started
http://opendatacommunities.org/id/district-council/south-norfolk,South Norfolk Council,S/WYM/002,,"""BOCM Paul, Rightup Lane, Wymondham""",https://www.arcgis.com/apps/webappviewer/index.html?id=64110f1c89b340938fdc601e639d063e&query=BrownfieldSites_8038_0%2CAlt_Ref%2C2012%2F1716 ,OSGB36,611939,300728,0.82,Not owned by a public authority,Yes,Permissioned,Reserved matters approval,02/10/2013,https://info.south-norfolk.gov.uk/online-applications/,,14,"""Redvelopment for 14 dwellings""",,,,,,,"""Outline permission (2012/1716) and reserved matters approval (2016/2286) for redevelopment of former mill for 14 dwellings""",31/12/2017,31/12/2017,,Not known,2018-19,Not started
http://opendatacommunities.org/id/district-council/south-norfolk,South Norfolk Council,S/DIC/001,,"""Off Ipswich Road, Dickleburgh & Rushall""",https://www.arcgis.com/apps/webappviewer/index.html?id=64110f1c89b340938fdc601e639d063e&query=BrownfieldSites_8038_0%2CAlt_Ref%2CGNLP0361,OSGB36,616684,282229,0.56,Not owned by a public authority,Yes,Not permissioned,,,https://info.south-norfolk.gov.uk/online-applications/,,10,"""Low density development of up to 10 dwellings""",,,,,,,"""Approx 50% inside settlement boundary""",,,GNLP0361 ,Mrs Pauline Garnham,2018-21,Not started
http://opendatacommunities.org/id/district-council/south-norfolk,South Norfolk Council,S/HAR/,,"""Apollo Club, Mendham Lane, Hartleston, Norfolk IP20 9DN""",,,,,,Not owned by a public authority,Yes,Not permissioned,,,https://info.south-norfolk.gov.uk/online-applications/,,,,,,,,,,,,,GNLP0263,,,Not started
http://opendatacommunities.org/id/district-council/south-norfolk,South Norfolk Council,S/COS/,,"""Roundwell Works, Costessey, Norfolk""",,,,,,Not owned by a public authority,Yes,Not permissioned,,,https://info.south-norfolk.gov.uk/online-applications/,,,,,,,,,,,,,GNLP0593,,,Not started
http://opendatacommunities.org/id/district-council/south-norfolk,South Norfolk Council,S/HAR/003,,"""Apollo Club, Mendham Lane, Hartleston""",https://www.arcgis.com/apps/webappviewer/index.html?id=64110f1c89b340938fdc601e639d063e&query=BrownfieldSites_8038_0%2CAlt_Ref%2CGNLP0263 ,OSGB36,624712,283002,0.48,Not owned by a public authority,Yes,Not permissioned,,,https://info.south-norfolk.gov.uk/online-applications/,,10,"""10-15 homes or retail""","""Possible retail - small food store/supermarket c1000m2""",,,,,,"""Former garage site""",,,GNLP0263,PFK Ling Ltd,2018-21,Not started
http://opendatacommunities.org/id/district-council/south-norfolk,South Norfolk Council,S/COS/002,,"""Roundwell Works, Costessey""",https://www.arcgis.com/apps/webappviewer/index.html?id=64110f1c89b340938fdc601e639d063e&query=BrownfieldSites_8038_0%2CAlt_Ref%2CGNLP0593 ,OSGB36,616922,310159,1.28,Not owned by a public authority,Yes,Not permissioned,,,https://info.south-norfolk.gov.uk/online-applications/,,25,"""Residential - 55 dwellings.""",,,,,,,"""Currently an employment site""",,,GNLP0593,Tredwell Developments Ltd,2018-21,Not started
