OrganisationURI,OrganisationLabel,SiteReference (also SHLAA Reference),PreviouslyPartOf,SiteNameAddress,SiteplanURL,CoordinateReferenceSystem,GeoX,GeoY,Hectares,Ward Name,Ownership Information,Deliverable,Planning Status,Permission Type,Permission History,Min Net Dwellings,Development Description,FirstAddedDate,GF / PDL,Are there known ownership or tenancy issues?,Last UpdatedDate
http://opendatacommunities.org/doc/geography/administration/ua/E06000007,Warrington Borough Council,1019.0,,"Land adj 414 Knutsford Road, WA4 1DR",Polygon viewable on interactive map (see Legend on map). Search address to find,OSGB36,361758.66,387489.68,0.08,Latchford West,Not owned by a Public Authority,No,Not Permissioned,,,8,See most recent planning history at warrington.gov.uk,2018-12-01,,,2018-12-01
http://opendatacommunities.org/doc/geography/administration/ua/E06000007,Warrington Borough Council,1029.0,,"Land at John St/Winwick Street, Warrington, WA4 6NL",Polygon viewable on interactive map (see Legend on map). Search address to find,OSGB36,360690.33,388623.0,0.85,Bewsey & Whitecross,Not owned by a Public Authority,Yes,Pending decision,Full Planning,2017/31394,362,See most recent planning history at warrington.gov.uk,2017-06-01,,,2018-12-01
http://opendatacommunities.org/doc/geography/administration/ua/E06000007,Warrington Borough Council,1050.0,,"114, Booths Hill Road, Lymm, Warrington, WA13 0EQ",Polygon viewable on interactive map (see Legend on map). Search address to find,OSGB36,367051.56,387107.52,0.11,Lymm South,Not owned by a Public Authority,Yes,Permissioned,Reserved Matters,2017/30858,6,See most recent planning history at warrington.gov.uk,2017-06-01,,,2018-12-01
http://opendatacommunities.org/doc/geography/administration/ua/E06000007,Warrington Borough Council,1090.0,,"Beers Building Co, Station Road, Latchford, WA4 2AD",Polygon viewable on interactive map (see Legend on map). Search address to find,OSGB36,362484.72,386927.52,1.48,Latchford East,Not owned by a Public Authority,No,Not Permissioned,,"(previous consents) 2008/12523, 2008/12578 and 2011/18363",158,See most recent planning history at warrington.gov.uk,2017-06-01,,,2017-06-01
http://opendatacommunities.org/doc/geography/administration/ua/E06000007,Warrington Borough Council,1108.0,,"Edwards Cheshire, Navigation Street, Warrington, WA1 2EL",Polygon viewable on interactive map (see Legend on map). Search address to find,OSGB36,361614.47,388089.01,0.56,Fairfield & Howley,Not owned by a Public Authority,Yes,Permissioned,Reserved Matters,2007/10238,76,See most recent planning history at warrington.gov.uk,2017-06-01,,,2017-06-01
http://opendatacommunities.org/doc/geography/administration/ua/E06000007,Warrington Borough Council,1178.0,,"Cardinal Newman High School, Bridgewater Avenue, Latchford, WA4 1RX",Polygon viewable on interactive map (see Legend on map). Search address to find,OSGB36,362685.48,388317.01,2.72,Latchford East,Owned by a Public Authority,No,Not Permissioned,Expired,2007/12025 and 2010/17569,110,See most recent planning history at warrington.gov.uk,2017-06-01,,,2018-12-01
http://opendatacommunities.org/doc/geography/administration/ua/E06000007,Warrington Borough Council,1201.0,,"New World Ltd, New World House, Thelwall Lane, Warrington, WA4 1NL",Polygon viewable on interactive map (see Legend on map). Search address to find,OSGB36,363588.95,387559.5,14.06,Latchford East,Not owned by a Public Authority,Yes,Permissioned,Reserved Matters,2007/11944 and 2009/14707 and 2010/17050,34,See most recent planning history at warrington.gov.uk,2017-06-01,,,2018-12-01
http://opendatacommunities.org/doc/geography/administration/ua/E06000007,Warrington Borough Council,1245.0,,"The Corner House, 98 Sandy Lane, Warrington, WA2 9HX",Polygon viewable on interactive map (see Legend on map). Search address to find,OSGB36,360845.9,390959.52,0.08,Orford,Not owned by a Public Authority,No,Not Permissioned,Expired,2009/15652,11,See most recent planning history at warrington.gov.uk,2017-06-01,,,2017-06-01
http://opendatacommunities.org/doc/geography/administration/ua/E06000007,Warrington Borough Council,1322.0,,"Brook Place, Knutsford Road, Warrington, WA4 1PH",Polygon viewable on interactive map (see Legend on map). Search address to find,OSGB36,362194.08,387393.5,0.16,Latchford East,Not owned by a Public Authority,No,Not Permissioned,Expired,2006/08556,8,See most recent planning history at warrington.gov.uk,2017-06-01,,,2017-06-01
http://opendatacommunities.org/doc/geography/administration/ua/E06000007,Warrington Borough Council,1401.0,,"Land at Winwick Street/Tanners Lane/Dallam Lane, Warrington, WA2 7NG",Polygon viewable on interactive map (see Legend on map). Search address to find,OSGB36,360532.42,388589.62,3.0,Bewsey & Whitecross,Not owned by a Public Authority,No,Not Permissioned,Expired,2005/07132,20,See most recent planning history at warrington.gov.uk,2017-06-01,,,2018-12-01
http://opendatacommunities.org/doc/geography/administration/ua/E06000007,Warrington Borough Council,1412.0,,"Land at Dawson House, Liverpool Road, Great Sankey, Warrington",Polygon viewable on interactive map (see Legend on map). Search address to find,OSGB36,355293.34,388965.98,5.78,Great Sankey North & Whittle Hall,Not owned by a Public Authority,Yes,Permissioned,Reserved Matters and Full Planning,2011/18949 & 2016/23929 & 2016/29330,140,See most recent planning history at warrington.gov.uk,2017-06-01,,,2018-12-01
http://opendatacommunities.org/doc/geography/administration/ua/E06000007,Warrington Borough Council,1412.1,,"Dawson House, Liverpool Road, Great Sankey, Warrington, WA5 3LW",Polygon viewable on interactive map (see Legend on map). Search address to find,OSGB36,355373.45,388947.6,0.23,Great Sankey North & Whittle Hall,Not owned by a Public Authority,Yes,Permissioned,Full Planning,2016/29330,7,See most recent planning history at warrington.gov.uk,2018-12-01,,,2018-12-01
http://opendatacommunities.org/doc/geography/administration/ua/E06000007,Warrington Borough Council,1422.0,,"Land at 31-35, Winwick Street, Warrington, WA2 7TT",Polygon viewable on interactive map (see Legend on map). Search address to find,OSGB36,360653.18,388592.75,0.07,Bewsey & Whitecross,Not owned by a Public Authority,No,Not Permissioned,Expired,2007/11202 and 2010/17449,16,See most recent planning history at warrington.gov.uk,2017-06-01,,,2017-06-01
http://opendatacommunities.org/doc/geography/administration/ua/E06000007,Warrington Borough Council,1427.0,,"35-37 Bewsey Street, Warrington, WA2 7JA",Polygon viewable on interactive map (see Legend on map). Search address to find,OSGB36,360495.7,388502.36,0.02,Bewsey & Whitecross,Not owned by a Public Authority,No,Not Permissioned,,,2,Not applicable,2017-06-01,,,2018-12-01
http://opendatacommunities.org/doc/geography/administration/ua/E06000007,Warrington Borough Council,1508.0,,"Ramswood Nursery, Manchester Rd, WA3 6EA",Polygon viewable on interactive map (see Legend on map). Search address to find,OSGB36,368138.25,389720.7,1.92,Rixton & Woolston,Not owned by a Public Authority,No,Not Permissioned,,,2,Not applicable,2018-12-01,,,2018-12-02
http://opendatacommunities.org/doc/geography/administration/ua/E06000007,Warrington Borough Council,1509.0,,"South Western corner of Penketh Business Park, Off Cleveleys Rd, Penketh, Warrington, WA5 2SR",Polygon viewable on interactive map (see Legend on map). Search address to find,OSGB36,357868.9,387615.96,0.76,Great Sankey South,Not owned by a Public Authority,Yes,Not Permissioned,Expired,2010/17075,22,See most recent planning history at warrington.gov.uk,2017-06-01,,,2017-06-01
http://opendatacommunities.org/doc/geography/administration/ua/E06000007,Warrington Borough Council,1513.0,,"Hollingreave Farm, Dam Lane, Rixton, WA3 6LE",Polygon viewable on interactive map (see Legend on map). Search address to find,OSGB36,368931.3,391796.24,0.45,Rixton & Woolston,Not owned by a Public Authority,Yes,Permissioned,Full Planning,2012/20090,5,See most recent planning history at warrington.gov.uk,2017-06-01,,,2017-06-01
http://opendatacommunities.org/doc/geography/administration/ua/E06000007,Warrington Borough Council,1517.0,,"Former Ship Inn and adjoining land, Chester Road, Walton, WA4 6EN",Polygon viewable on interactive map (see Legend on map). Search address to find,OSGB36,360433.11,385893.15,1.36,Stockton Heath,Not owned by a Public Authority,Yes,Permissioned,Reserved Matters,2014/24980 & 2015/26890,1,See most recent planning history at warrington.gov.uk,2017-06-01,,,2017-06-01
http://opendatacommunities.org/doc/geography/administration/ua/E06000007,Warrington Borough Council,1519.0,,"Howards Transport Limited, Robins Lane, Culcheth, WA3 4AE",Polygon viewable on interactive map (see Legend on map). Search address to find,OSGB36,364775.76,394859.87,0.35,"Culcheth, Glazebury & Croft",Not owned by a Public Authority,No,Not Permissioned,,,7,Not applicable,2017-06-01,,,2017-06-01
http://opendatacommunities.org/doc/geography/administration/ua/E06000007,Warrington Borough Council,1541.0,,Arpley Meadows (mid parcel immediately abutting the west coast mainline),Polygon viewable on interactive map (see Legend on map). Search address to find,OSGB36,359810.6,387009.3,19.57,Bewsey & Whitecross,Not owned by a Public Authority,No,Not Permissioned,,,646,Not applicable,2017-06-01,,,2017-06-01
http://opendatacommunities.org/doc/geography/administration/ua/E06000007,Warrington Borough Council,1550.0,,"Land adjacent Lord Street, Latchford, WA4 1BZ",Polygon viewable on interactive map (see Legend on map). Search address to find,OSGB36,360993.03,387591.22,0.08,Latchford West,Not owned by a Public Authority,No,Permissioned,Prior Notification,2013/21524,21,See most recent planning history at warrington.gov.uk,2017-06-01,,,2017-06-01
http://opendatacommunities.org/doc/geography/administration/ua/E06000007,Warrington Borough Council,1580.0,,"Longshaw Street Garage Plots (north east), Dallam",Polygon viewable on interactive map (see Legend on map). Search address to find,OSGB36,359840.75,390764.52,0.13,Bewsey & Whitecross,Owned by a Public Authority,Yes,Pending decision,Full Planning,2018/32579,6,See most recent planning history at warrington.gov.uk,2018-12-01,,,2018-12-01
http://opendatacommunities.org/doc/geography/administration/ua/E06000007,Warrington Borough Council,1585.0,,"Former scout hut/lock up garagres, Helsby Street (southern end), Howley, WA1 3AX",Polygon viewable on interactive map (see Legend on map). Search address to find,OSGB36,361885.67,388624.6,0.12,Fairfield & Howley,Not owned by a Public Authority,No,Not Permissioned,,,8,Not applicable,2017-06-01,,,2017-06-01
http://opendatacommunities.org/doc/geography/administration/ua/E06000007,Warrington Borough Council,1607.0,,"The Old Rectory, Rectory Lane, Winwick, WA2 8LE",Polygon viewable on interactive map (see Legend on map). Search address to find,OSGB36,360550.3,392598.1,0.82,Burtonwood & Winwick,Not owned by a Public Authority,No,Not Permissioned,,,4,Not applicable,2017-06-01,,,2018-12-01
http://opendatacommunities.org/doc/geography/administration/ua/E06000007,Warrington Borough Council,1613.0,,"Barondale Grange, Stockport Road, Thelwall, WA4 2TB",Polygon viewable on interactive map (see Legend on map). Search address to find,OSGB36,364887.55,387029.75,0.86,Lymm North & Thelwall,Not owned by a Public Authority,No,Not Permissioned,,,4,Not applicable,2017-06-01,,,2017-06-01
http://opendatacommunities.org/doc/geography/administration/ua/E06000007,Warrington Borough Council,1620.0,,"Recycling premises, Off Camsley Lane, Lymm, WA13 9BY",Polygon viewable on interactive map (see Legend on map). Search address to find,OSGB36,366126.94,387287.07,0.88,Lymm North & Thelwall,Not owned by a Public Authority,No,Not Permissioned,,,11,Not applicable,2017-06-01,,,2017-06-01
http://opendatacommunities.org/doc/geography/administration/ua/E06000007,Warrington Borough Council,1633.0,,Arpley Meadows (most western parcel),Polygon viewable on interactive map (see Legend on map). Search address to find,OSGB36,359307.68,387252.7,29.34,Bewsey & Whitecross,Not owned by a Public Authority,No,Not Permissioned,,,1105,Not applicable,2017-06-01,,,2017-06-01
http://opendatacommunities.org/doc/geography/administration/ua/E06000007,Warrington Borough Council,1638.0,,Broomedge Nurseries (formerly Hampson Nursery),Polygon viewable on interactive map (see Legend on map). Search address to find,OSGB36,370510.97,386354.4,3.0,Lymm South,Not owned by a Public Authority,Yes,Not Permissioned,,,5,Not applicable,2018-12-01,,,2018-12-01
http://opendatacommunities.org/doc/geography/administration/ua/E06000007,Warrington Borough Council,1643.0,,"Former Police Training Centre, Off Greenway, Bruche, WA1 3BG",Polygon viewable on interactive map (see Legend on map). Search address to find,OSGB36,362936.84,389503.03,8.81,Poulton South,Not owned by a Public Authority,Yes,Permissioned,Reserved Matters,2013/22541,220,See most recent planning history at warrington.gov.uk,2017-06-01,,,2017-06-01
http://opendatacommunities.org/doc/geography/administration/ua/E06000007,Warrington Borough Council,1653.0,,"Adjacent to south-western cockhedge bridge, Scotland Rd, Warrington, WA1 2AF",Polygon viewable on interactive map (see Legend on map). Search address to find,OSGB36,360706.23,388324.14,0.08,Bewsey & Whitecross,Not owned by a Public Authority,No,Not Permissioned,,,22,Not applicable,2017-06-01,,,2018-12-01
http://opendatacommunities.org/doc/geography/administration/ua/E06000007,Warrington Borough Council,1710.0,,"Dalton Bank Council Depot, Manchester Road, Warrington, WA1 2PH",Polygon viewable on interactive map (see Legend on map). Search address to find,OSGB36,361263.52,388619.48,1.45,Fairfield & Howley,Owned by a Public Authority,No,Not Permissioned,,,65,Not applicable,2017-06-01,,,2017-06-01
http://opendatacommunities.org/doc/geography/administration/ua/E06000007,Warrington Borough Council,1715.0,,"Spectra Building & Drivetime Golf Range, South of Centre Park Business Park, WA1 1QL",Polygon viewable on interactive map (see Legend on map). Search address to find,OSGB36,360156.59,386784.65,15.69,Bewsey & Whitecross,Not owned by a Public Authority,Yes,Not Permissioned,,,510,Not applicable,2017-06-01,,,2017-06-01
http://opendatacommunities.org/doc/geography/administration/ua/E06000007,Warrington Borough Council,1717.0,,"Former Dairy Works, Knutsford Road, Warrington, WA4 1AZ",Polygon viewable on interactive map (see Legend on map). Search address to find,OSGB36,361522.82,387570.75,0.25,Latchford West,Not owned by a Public Authority,No,Not Permissioned,,,13,Not applicable,2017-06-01,,,2017-06-01
http://opendatacommunities.org/doc/geography/administration/ua/E06000007,Warrington Borough Council,1719.0,,"Furnish with Flair Site, Wilderspool Causeway, Warrington, WA4 6QP",Polygon viewable on interactive map (see Legend on map). Search address to find,OSGB36,361171.03,386903.25,0.32,Latchford West,Not owned by a Public Authority,No,Not Permissioned,,,36,Not applicable,2017-06-01,,,2017-06-01
http://opendatacommunities.org/doc/geography/administration/ua/E06000007,Warrington Borough Council,1720.0,,"MSBS Joinery Site, Star Lane, Lymm, WA13 9LN",Polygon viewable on interactive map (see Legend on map). Search address to find,OSGB36,367208.48,387468.6,0.37,Lymm North & Thelwall,Not owned by a Public Authority,No,Not Permissioned,,,11,Not applicable,2017-06-01,,,2017-06-01
http://opendatacommunities.org/doc/geography/administration/ua/E06000007,Warrington Borough Council,1721.0,,"St Albans Catholic Club, Bewsey Street, Warrington, WA2 7JQ",Polygon viewable on interactive map (see Legend on map). Search address to find,OSGB36,360516.45,388499.79,0.1,Bewsey & Whitecross,Not owned by a Public Authority,No,Not Permissioned,,,35,Not applicable,2017-06-01,,,2017-06-01
http://opendatacommunities.org/doc/geography/administration/ua/E06000007,Warrington Borough Council,1723.0,,"Land at Hopwood Street, off Manchester Road, Warrington, WA1 2PH",Polygon viewable on interactive map (see Legend on map). Search address to find,OSGB36,361179.37,388641.41,0.46,Fairfield & Howley,Owned by a Public Authority,No,Not Permissioned,,,21,Not applicable,2017-06-01,,,2017-06-01
http://opendatacommunities.org/doc/geography/administration/ua/E06000007,Warrington Borough Council,1725.0,,"Land adjacent Magistrates Court, Winmarleigh Street, Warrington, WA1 1NB",Polygon viewable on interactive map (see Legend on map). Search address to find,OSGB36,360227.3,387961.95,0.05,Bewsey & Whitecross,Not owned by a Public Authority,No,Not Permissioned,,,15,Not applicable,2017-06-01,,,2017-06-01
http://opendatacommunities.org/doc/geography/administration/ua/E06000007,Warrington Borough Council,1733.0,,"Hall Motors Site, Folly Lane, Warrington, WA5 0LZ",Polygon viewable on interactive map (see Legend on map). Search address to find,OSGB36,359912.93,389281.63,0.86,Bewsey & Whitecross,Not owned by a Public Authority,No,Not Permissioned,,,31,Not applicable,2017-06-01,,,2017-06-01
http://opendatacommunities.org/doc/geography/administration/ua/E06000007,Warrington Borough Council,1736.0,,"224 - 228 Wilderspool Causeway, Warrington, WA4 6QF",Polygon viewable on interactive map (see Legend on map). Search address to find,OSGB36,361021.18,387058.05,0.15,Latchford West,Not owned by a Public Authority,Yes,Not Permissioned,,,20,Not applicable,2017-06-01,,,2017-06-01
http://opendatacommunities.org/doc/geography/administration/ua/E06000007,Warrington Borough Council,1737.0,,"Land Between Public House and 3 Church Lane, Culcheth, WA3 5DL",Polygon viewable on interactive map (see Legend on map). Search address to find,OSGB36,365715.87,395133.42,0.25,"Culcheth, Glazebury & Croft",Not owned by a Public Authority,Yes,Permissioned,Outline Planning,2016/27387,10,See most recent planning history at warrington.gov.uk,2017-06-01,,,2017-06-01
http://opendatacommunities.org/doc/geography/administration/ua/E06000007,Warrington Borough Council,1746.0,,"Site of former Kwik Save, Academy Way/Buttermarket Street, Warrington, WA1 2BJ",Polygon viewable on interactive map (see Legend on map). Search address to find,OSGB36,360866.47,388210.4,0.39,Bewsey & Whitecross,Not owned by a Public Authority,Yes,Permissioned,Full Planning,2017/31148,144,See most recent planning history at warrington.gov.uk,2017-06-01,,,2017-06-01
http://opendatacommunities.org/doc/geography/administration/ua/E06000007,Warrington Borough Council,1752.0,,"Former Wilderspool Stadium, Priory Street, Warrington, WA4 6YP",Polygon viewable on interactive map (see Legend on map). Search address to find,OSGB36,361010.45,387446.88,1.95,Latchford West,Not owned by a Public Authority,Yes,Not Permissioned,,,163,Not applicable,2017-06-01,,,2017-06-01
http://opendatacommunities.org/doc/geography/administration/ua/E06000007,Warrington Borough Council,1753.0,,"Land at the rear of St. James Court, Off Wilderspool Causeway, Warrington, WA4 6PS",Polygon viewable on interactive map (see Legend on map). Search address to find,OSGB36,360942.96,387532.88,0.85,Latchford West,Not owned by a Public Authority,No,Not Permissioned,,,38,Not applicable,2017-06-01,,,2017-06-01
http://opendatacommunities.org/doc/geography/administration/ua/E06000007,Warrington Borough Council,1755.0,,"Garven Place Clinic, Legh Street, Warrington, WA1 1UQ",Polygon viewable on interactive map (see Legend on map). Search address to find,OSGB36,360325.55,388216.74,0.56,Bewsey & Whitecross,Not owned by a Public Authority,No,Not Permissioned,,,25,Not applicable,2017-06-01,,,2017-06-01
http://opendatacommunities.org/doc/geography/administration/ua/E06000007,Warrington Borough Council,1758.0,,"Land at junction of Wilson Patten Street/Winmarleigh Street, Warrington, WA1 1LE",Polygon viewable on interactive map (see Legend on map). Search address to find,OSGB36,360223.2,387853.56,0.16,Bewsey & Whitecross,Not owned by a Public Authority,No,Not Permissioned,,,21,Not applicable,2017-06-01,,,2018-12-01
http://opendatacommunities.org/doc/geography/administration/ua/E06000007,Warrington Borough Council,1760.0,,"Land at 3 Delenty Drive, Birchwood, WA3 6AN",Polygon viewable on interactive map (see Legend on map). Search address to find,OSGB36,364995.7,391794.55,0.44,Birchwood,Not owned by a Public Authority,Yes,Permissioned,Full Planning,2015/25391,9,See most recent planning history at warrington.gov.uk,2017-06-01,,,2017-06-01
